year,stage,home_team,away_team,home_goals,away_goals,host,home_continent,away_continent
1986,Group Stage,Portugal,Poland,1,0,Mexico,Europe,Europe
1986,Group Stage,England,Poland,3,0,Mexico,Europe,Europe
1986,Group Stage,Portugal,Morocco,1,3,Mexico,Europe,Africa
1986,Round of 16,Mexico,Bulgaria,2,0,Mexico,North America,Europe
1986,Round of 16,Soviet Union,Belgium,3,4,Mexico,Europe,Europe
1986,Round of 16,Brazil,Poland,4,0,Mexico,South America,Europe
1986,Round of 16,Argentina,Uruguay,1,0,Mexico,South America,South America
1986,Round of 16,Italy,France,0,2,Mexico,Europe,Europe
1986,Round of 16,Morocco,West Germany,0,1,Mexico,Africa,Europe
1986,Round of 16,England,Paraguay,3,0,Mexico,Europe,South America
1986,Round of 16,Denmark,Spain,1,5,Mexico,Europe,Europe
1986,Quarter-finals,Brazil,France,1,1,Mexico,South America,Europe
1986,Quarter-finals,Mexico,West Germany,0,0,Mexico,North America,Europe
1986,Quarter-finals,Argentina,England,2,1,Mexico,South America,Europe
1986,Quarter-finals,Spain,Belgium,1,1,Mexico,Europe,Europe
1986,Semi-finals,France,West Germany,0,2,Mexico,Europe,Europe
1986,Semi-finals,Argentina,Belgium,2,0,Mexico,South America,Europe
1986,Final,Argentina,West Germany,3,2,Mexico,South America,Europe
1986,Third place,France,Belgium,4,2,Mexico,Europe,Europe
1990,Group Stage,Argentina,Cameroon,0,1,Italy,South America,Africa
1990,Group Stage,Romania,Soviet Union,2,0,Italy,Europe,Europe
1990,Group Stage,Argentina,Soviet Union,2,0,Italy,South America,Europe
1990,Group Stage,Cameroon,Romania,2,1,Italy,Africa,Europe
1990,Group Stage,Argentina,Romania,1,1,Italy,South America,Europe
1990,Group Stage,Cameroon,Soviet Union,0,4,Italy,Africa,Europe
1990,Group Stage,Italy,Austria,1,0,Italy,Europe,Europe
1990,Group Stage,United States,Czechoslovakia,1,5,Italy,North America,Europe
1990,Group Stage,Italy,United States,1,0,Italy,Europe,North America
1990,Group Stage,Austria,Czechoslovakia,0,1,Italy,Europe,Europe
1990,Group Stage,Italy,Czechoslovakia,2,0,Italy,Europe,Europe
1990,Group Stage,Austria,United States,2,1,Italy,Europe,North America
1990,Group Stage,Brazil,Sweden,2,1,Italy,South America,Europe
1990,Group Stage,Costa Rica,Scotland,1,0,Italy,North America,Europe
1990,Group Stage,Brazil,Costa Rica,1,0,Italy,South America,North America
1990,Group Stage,Scotland,Sweden,2,1,Italy,Europe,Europe
1990,Group Stage,Brazil,Scotland,1,0,Italy,South America,Europe
1990,Group Stage,Costa Rica,Sweden,2,1,Italy,North America,Europe
1990,Group Stage,West Germany,Yugoslavia,4,1,Italy,Europe,Europe
1990,Group Stage,Colombia,United Arab Emirates,2,0,Italy,South America,Asia
1990,Group Stage,West Germany,Colombia,1,1,Italy,Europe,South America
1990,Group Stage,Yugoslavia,United Arab Emirates,4,1,Italy,Europe,Asia
1990,Group Stage,West Germany,United Arab Emirates,5,1,Italy,Europe,Asia
1990,Group Stage,Yugoslavia,Colombia,1,0,Italy,Europe,South America
1990,Group Stage,Belgium,South Korea,2,0,Italy,Europe,Asia
1990,Group Stage,Spain,Uruguay,0,0,Italy,Europe,South America
1990,Group Stage,Belgium,Uruguay,3,1,Italy,Europe,South America
1990,Group Stage,Spain,South Korea,3,1,Italy,Europe,Asia
1990,Group Stage,Belgium,Spain,1,2,Italy,Europe,Europe
1990,Group Stage,Uruguay,South Korea,1,0,Italy,South America,Asia
1990,Group Stage,England,Ireland,1,1,Italy,Europe,Europe
1990,Group Stage,Netherlands,Egypt,1,1,Italy,Europe,Africa
1990,Group Stage,England,Netherlands,0,0,Italy,Europe,Europe
1990,Group Stage,Ireland,Egypt,0,0,Italy,Europe,Africa
1990,Group Stage,England,Egypt,1,0,Italy,Europe,Africa
1990,Group Stage,Ireland,Netherlands,1,1,Italy,Europe,Europe
1990,Round of 16,Italy,Uruguay,2,0,Italy,Europe,South America
1990,Round of 16,Czechoslovakia,Costa Rica,4,1,Italy,Europe,North America
1990,Round of 16,Cameroon,Colombia,2,1,Italy,Africa,South America
1990,Round of 16,Argentina,Brazil,1,0,Italy,South America,South America
1990,Round of 16,West Germany,Netherlands,2,1,Italy,Europe,Europe
1990,Round of 16,Ireland,Romania,0,0,Italy,Europe,Europe
1990,Round of 16,Spain,Yugoslavia,1,2,Italy,Europe,Europe
1990,Round of 16,England,Belgium,1,0,Italy,Europe,Europe
1990,Quarter-finals,Argentina,Yugoslavia,0,0,Italy,South America,Europe
1990,Quarter-finals,Italy,Ireland,1,0,Italy,Europe,Europe
1990,Quarter-finals,Czechoslovakia,West Germany,0,1,Italy,Europe,Europe
1990,Quarter-finals,Cameroon,England,2,3,Italy,Africa,Europe
1990,Semi-finals,Italy,Argentina,1,1,Italy,Europe,South America
1990,Semi-finals,West Germany,England,1,1,Italy,Europe,Europe
1990,Final,West Germany,Argentina,1,0,Italy,Europe,South America
1990,Third place,Italy,England,2,1,Italy,Europe,Europe
1994,Group Stage,Germany,Bolivia,1,0,United States,Europe,South America
1994,Group Stage,Spain,South Korea,2,2,United States,Europe,Asia
1994,Group Stage,Germany,Spain,1,1,United States,Europe,Europe
1994,Group Stage,Bolivia,South Korea,0,0,United States,South America,Asia
1994,Group Stage,Germany,South Korea,3,2,United States,Europe,Asia
1994,Group Stage,Bolivia,Spain,1,3,United States,South America,Europe
1994,Group Stage,Brazil,Russia,2,0,United States,South America,Europe
1994,Group Stage,Cameroon,Sweden,2,2,United States,Africa,Europe
1994,Group Stage,Brazil,Cameroon,3,0,United States,South America,Africa
1994,Group Stage,Sweden,Russia,3,1,United States,Europe,Europe
1994,Group Stage,Brazil,Sweden,1,1,United States,South America,Europe
1994,Group Stage,Russia,Cameroon,6,1,United States,Europe,Africa
1994,Group Stage,Colombia,Romania,1,3,United States,South America,Europe
1994,Group Stage,Switzerland,United States,1,1,United States,Europe,North America
1994,Group Stage,Romania,Switzerland,1,4,United States,Europe,Europe
1994,Group Stage,United States,Colombia,2,1,United States,North America,South America
1994,Group Stage,United States,Romania,0,1,United States,North America,Europe
1994,Group Stage,Switzerland,Colombia,0,2,United States,Europe,South America
1994,Group Stage,Nigeria,Bulgaria,3,0,United States,Africa,Europe
1994,Group Stage,Argentina,Greece,4,0,United States,South America,Europe
1994,Group Stage,Argentina,Nigeria,2,1,United States,South America,Africa
1994,Group Stage,Bulgaria,Greece,4,0,United States,Europe,Europe
1994,Group Stage,Argentina,Bulgaria,0,2,United States,South America,Europe
1994,Group Stage,Nigeria,Greece,2,0,United States,Africa,Europe
1994,Group Stage,Mexico,Norway,0,1,United States,North America,Europe
1994,Group Stage,Italy,Ireland,0,1,United States,Europe,Europe
1994,Group Stage,Italy,Norway,1,0,United States,Europe,Europe
1994,Group Stage,Mexico,Ireland,2,1,United States,North America,Europe
1994,Group Stage,Italy,Mexico,1,1,United States,Europe,North America
1994,Group Stage,Ireland,Norway,0,0,United States,Europe,Europe
1994,Group Stage,Belgium,Morocco,1,0,United States,Europe,Africa
1994,Group Stage,Netherlands,Saudi Arabia,2,1,United States,Europe,Asia
1994,Group Stage,Belgium,Netherlands,1,0,United States,Europe,Europe
1994,Group Stage,Morocco,Saudi Arabia,2,1,United States,Africa,Asia
1994,Group Stage,Netherlands,Morocco,2,1,United States,Europe,Africa
1994,Group Stage,Belgium,Saudi Arabia,0,1,United States,Europe,Asia
1994,Round of 16,Germany,Belgium,3,2,United States,Europe,Europe
1994,Round of 16,Spain,Switzerland,3,0,United States,Europe,Europe
1994,Round of 16,Saudi Arabia,Sweden,1,3,United States,Asia,Europe
1994,Round of 16,Romania,Argentina,3,2,United States,Europe,South America
1994,Round of 16,Netherlands,Ireland,2,0,United States,Europe,Europe
1994,Round of 16,Brazil,United States,1,0,United States,South America,North America
1994,Round of 16,Nigeria,Italy,1,2,United States,Africa,Europe
1994,Round of 16,Mexico,Bulgaria,1,1,United States,North America,Europe
1994,Quarter-finals,Italy,Spain,2,1,United States,Europe,Europe
1994,Quarter-finals,Germany,Bulgaria,1,2,United States,Europe,Europe
1994,Quarter-finals,Netherlands,Brazil,2,3,United States,Europe,South America
1994,Quarter-finals,Sweden,Romania,2,2,United States,Europe,Europe
1994,Semi-finals,Bulgaria,Italy,1,2,United States,Europe,Europe
1994,Semi-finals,Sweden,Brazil,0,1,United States,Europe,South America
1994,Final,Brazil,Italy,0,0,United States,South America,Europe
1994,Third place,Sweden,Bulgaria,4,0,United States,Europe,Europe
1998,Group Stage,Brazil,Scotland,2,1,France,South America,Europe
1998,Group Stage,Morocco,Norway,2,2,France,Africa,Europe
1998,Group Stage,Brazil,Morocco,3,0,France,South America,Africa
1998,Group Stage,Norway,Scotland,1,1,France,Europe,Europe
1998,Group Stage,Brazil,Norway,1,2,France,South America,Europe
1998,Group Stage,Scotland,Morocco,0,3,France,Europe,Africa
1998,Group Stage,Italy,Chile,2,2,France,Europe,South America
1998,Group Stage,Austria,Cameroon,1,1,France,Europe,Africa
1998,Group Stage,Chile,Austria,1,1,France,South America,Europe
1998,Group Stage,Italy,Cameroon,3,0,France,Europe,Africa
1998,Group Stage,Italy,Austria,2,1,France,Europe,Europe
1998,Group Stage,Chile,Cameroon,1,1,France,South America,Africa
1998,Group Stage,France,South Africa,3,0,France,Europe,Africa
1998,Group Stage,Denmark,Saudi Arabia,1,0,France,Europe,Asia
1998,Group Stage,France,Denmark,2,1,France,Europe,Europe
1998,Group Stage,South Africa,Saudi Arabia,1,1,France,Africa,Asia
1998,Group Stage,France,Saudi Arabia,4,0,France,Europe,Asia
1998,Group Stage,Denmark,South Africa,1,1,France,Europe,Africa
1998,Group Stage,Nigeria,Spain,3,2,France,Africa,Europe
1998,Group Stage,Paraguay,Bulgaria,0,0,France,South America,Europe
1998,Group Stage,Nigeria,Bulgaria,1,0,France,Africa,Europe
1998,Group Stage,Spain,Paraguay,0,0,France,Europe,South America
1998,Group Stage,Nigeria,Paraguay,1,3,France,Africa,South America
1998,Group Stage,Spain,Bulgaria,6,1,France,Europe,Europe
1998,Group Stage,Netherlands,Belgium,0,0,France,Europe,Europe
1998,Group Stage,South Korea,Mexico,1,3,France,Asia,North America
1998,Group Stage,Netherlands,South Korea,5,0,France,Europe,Asia
1998,Group Stage,Mexico,Belgium,2,2,France,North America,Europe
1998,Group Stage,Netherlands,Mexico,2,2,France,Europe,North America
1998,Group Stage,Belgium,South Korea,1,1,France,Europe,Asia
1998,Group Stage,Germany,United States,2,0,France,Europe,North America
1998,Group Stage,Yugoslavia,Iran,1,0,France,Europe,Asia
1998,Group Stage,Germany,Yugoslavia,2,2,France,Europe,Europe
1998,Group Stage,Iran,United States,2,1,France,Asia,North America
1998,Group Stage,Germany,Iran,2,0,France,Europe,Asia
1998,Group Stage,Yugoslavia,United States,1,0,France,Europe,North America
1998,Group Stage,Romania,Colombia,1,0,France,Europe,South America
1998,Group Stage,England,Tunisia,2,0,France,Europe,Africa
1998,Group Stage,Romania,England,2,1,France,Europe,Europe
1998,Group Stage,Colombia,Tunisia,1,0,France,South America,Africa
1998,Group Stage,England,Colombia,2,0,France,Europe,South America
1998,Group Stage,Romania,Tunisia,1,1,France,Europe,Africa
1998,Group Stage,Argentina,Japan,1,0,France,South America,Asia
1998,Group Stage,Croatia,Jamaica,3,1,France,Europe,North America
1998,Group Stage,Argentina,Croatia,1,0,France,South America,Europe
1998,Group Stage,Japan,Jamaica,1,2,France,Asia,North America
1998,Group Stage,Argentina,Jamaica,5,0,France,South America,North America
1998,Group Stage,Croatia,Japan,1,0,France,Europe,Asia
1998,Round of 16,Italy,Norway,1,0,France,Europe,Europe
1998,Round of 16,Brazil,Chile,4,1,France,South America,South America
1998,Round of 16,France,Paraguay,1,0,France,Europe,South America
1998,Round of 16,Nigeria,Denmark,1,4,France,Africa,Europe
1998,Round of 16,Germany,Mexico,2,1,France,Europe,North America
1998,Round of 16,Netherlands,Yugoslavia,2,1,France,Europe,Europe
1998,Round of 16,Romania,Croatia,1,1,France,Europe,Europe
1998,Round of 16,Argentina,England,2,2,France,South America,Europe
1998,Quarter-finals,France,Italy,0,0,France,Europe,Europe
1998,Quarter-finals,Brazil,Denmark,3,2,France,South America,Europe
1998,Quarter-finals,Netherlands,Argentina,2,1,France,Europe,South America
1998,Quarter-finals,Germany,Croatia,0,3,France,Europe,Europe
1998,Semi-finals,Brazil,Netherlands,1,1,France,South America,Europe
1998,Semi-finals,France,Croatia,2,1,France,Europe,Europe
1998,Final,France,Brazil,3,0,France,Europe,South America
1998,Third place,Netherlands,Croatia,1,2,France,Europe,Europe
2002,Group Stage,Senegal,France,1,0,South Korea,Africa,Europe
2002,Group Stage,Uruguay,Denmark,1,2,South Korea,South America,Europe
2002,Group Stage,France,Uruguay,0,0,South Korea,Europe,South America
2002,Group Stage,Denmark,Senegal,1,1,South Korea,Europe,Africa
2002,Group Stage,Denmark,France,2,0,South Korea,Europe,Europe
2002,Group Stage,Senegal,Uruguay,3,3,South Korea,Africa,South America
2002,Group Stage,Spain,Slovenia,3,1,South Korea,Europe,Europe
2002,Group Stage,Paraguay,South Africa,2,2,South Korea,South America,Africa
2002,Group Stage,Spain,Paraguay,3,1,South Korea,Europe,South America
2002,Group Stage,South Africa,Slovenia,1,0,South Korea,Africa,Europe
2002,Group Stage,Spain,South Africa,3,2,South Korea,Europe,Africa
2002,Group Stage,Paraguay,Slovenia,3,1,South Korea,South America,Europe
2002,Group Stage,Brazil,Turkey,2,1,South Korea,South America,Europe
2002,Group Stage,China,Costa Rica,0,2,South Korea,Asia,North America
2002,Group Stage,Brazil,China,4,0,South Korea,South America,Asia
2002,Group Stage,Costa Rica,Turkey,1,1,South Korea,North America,Europe
2002,Group Stage,Brazil,Costa Rica,5,2,South Korea,South America,North America
2002,Group Stage,Turkey,China,3,0,South Korea,Europe,Asia
2002,Group Stage,South Korea,Poland,2,0,South Korea,Asia,Europe
2002,Group Stage,United States,Portugal,3,2,South Korea,North America,Europe
2002,Group Stage,South Korea,United States,1,1,South Korea,Asia,North America
2002,Group Stage,Portugal,Poland,4,0,South Korea,Europe,Europe
2002,Group Stage,South Korea,Portugal,1,0,South Korea,Asia,Europe
2002,Group Stage,United States,Poland,3,1,South Korea,North America,Europe
2002,Group Stage,Germany,Saudi Arabia,8,0,Japan,Europe,Asia
2002,Group Stage,Ireland,Cameroon,1,1,Japan,Europe,Africa
2002,Group Stage,Germany,Ireland,1,1,Japan,Europe,Europe
2002,Group Stage,Cameroon,Saudi Arabia,1,0,Japan,Africa,Asia
2002,Group Stage,Germany,Cameroon,2,0,Japan,Europe,Africa
2002,Group Stage,Ireland,Saudi Arabia,3,0,Japan,Europe,Asia
2002,Group Stage,England,Sweden,1,1,Japan,Europe,Europe
2002,Group Stage,Argentina,Nigeria,1,0,Japan,South America,Africa
2002,Group Stage,England,Argentina,1,0,Japan,Europe,South America
2002,Group Stage,Sweden,Nigeria,2,1,Japan,Europe,Africa
2002,Group Stage,Sweden,Argentina,1,1,Japan,Europe,South America
2002,Group Stage,England,Nigeria,0,0,Japan,Europe,Africa
2002,Group Stage,Italy,Ecuador,2,0,Japan,Europe,South America
2002,Group Stage,Croatia,Mexico,0,1,Japan,Europe,North America
2002,Group Stage,Italy,Croatia,1,2,Japan,Europe,Europe
2002,Group Stage,Mexico,Ecuador,2,1,Japan,North America,South America
2002,Group Stage,Italy,Mexico,1,1,Japan,Europe,North America
2002,Group Stage,Croatia,Ecuador,1,0,Japan,Europe,South America
2002,Group Stage,Japan,Belgium,2,2,Japan,Asia,Europe
2002,Group Stage,Russia,Tunisia,2,0,Japan,Europe,Africa
2002,Group Stage,Japan,Russia,1,0,Japan,Asia,Europe
2002,Group Stage,Tunisia,Belgium,1,1,Japan,Africa,Europe
2002,Group Stage,Japan,Tunisia,2,0,Japan,Asia,Africa
2002,Group Stage,Belgium,Russia,3,2,Japan,Europe,Europe
2002,Round of 16,Germany,Paraguay,1,0,South Korea,Europe,South America
2002,Round of 16,Denmark,England,0,3,Japan,Europe,Europe
2002,Round of 16,Sweden,Senegal,1,2,Japan,Europe,Africa
2002,Round of 16,Spain,Ireland,1,1,South Korea,Europe,Europe
2002,Round of 16,Mexico,United States,0,2,South Korea,North America,North America
2002,Round of 16,Brazil,Belgium,2,0,Japan,South America,Europe
2002,Round of 16,South Korea,Italy,2,1,South Korea,Asia,Europe
2002,Round of 16,Japan,Turkey,0,1,Japan,Asia,Europe
2002,Quarter-finals,England,Brazil,1,2,Japan,Europe,South America
2002,Quarter-finals,Germany,United States,1,0,South Korea,Europe,North America
2002,Quarter-finals,South Korea,Spain,0,0,South Korea,Asia,Europe
2002,Quarter-finals,Senegal,Turkey,0,1,Japan,Africa,Europe
2002,Semi-finals,Germany,South Korea,1,0,South Korea,Europe,Asia
2002,Semi-finals,Brazil,Turkey,1,0,Japan,South America,Europe
2002,Final,Brazil,Germany,2,0,South Korea,South America,Europe
2002,Third place,South Korea,Turkey,2,3,South Korea,Asia,Europe
2006,Group Stage,Germany,Costa Rica,4,2,Germany,Europe,North America
2006,Group Stage,Poland,Ecuador,0,2,Germany,Europe,South America
2006,Group Stage,Germany,Poland,1,0,Germany,Europe,Europe
2006,Group Stage,Ecuador,Costa Rica,3,0,Germany,South America,North America
2006,Group Stage,Germany,Ecuador,3,0,Germany,Europe,South America
2006,Group Stage,Costa Rica,Poland,1,2,Germany,North America,Europe
2006,Group Stage,England,Paraguay,1,0,Germany,Europe,South America
2006,Group Stage,Trinidad and Tobago,Sweden,0,0,Germany,North America,Europe
2006,Group Stage,England,Trinidad and Tobago,2,0,Germany,Europe,North America
2006,Group Stage,Sweden,Paraguay,1,0,Germany,Europe,South America
2006,Group Stage,Sweden,England,2,2,Germany,Europe,Europe
2006,Group Stage,Paraguay,Trinidad and Tobago,2,0,Germany,South America,North America
2006,Group Stage,Argentina,Ivory Coast,2,1,Germany,South America,Africa
2006,Group Stage,Serbia,Netherlands,0,1,Germany,Europe,Europe
2006,Group Stage,Argentina,Serbia,6,0,Germany,South America,Europe
2006,Group Stage,Netherlands,Ivory Coast,2,1,Germany,Europe,Africa
2006,Group Stage,Netherlands,Argentina,0,0,Germany,Europe,South America
2006,Group Stage,Ivory Coast,Serbia,3,2,Germany,Africa,Europe
2006,Group Stage,Mexico,Iran,3,1,Germany,North America,Asia
2006,Group Stage,Angola,Portugal,0,1,Germany,Africa,Europe
2006,Group Stage,Mexico,Angola,0,0,Germany,North America,Africa
2006,Group Stage,Portugal,Iran,2,0,Germany,Europe,Asia
2006,Group Stage,Portugal,Mexico,2,1,Germany,Europe,North America
2006,Group Stage,Iran,Angola,1,1,Germany,Asia,Africa
2006,Group Stage,Italy,Ghana,2,0,Germany,Europe,Africa
2006,Group Stage,Czech Republic,United States,3,0,Germany,Europe,North America
2006,Group Stage,Italy,Czech Republic,2,0,Germany,Europe,Europe
2006,Group Stage,Ghana,United States,2,1,Germany,Africa,North America
2006,Group Stage,Italy,United States,1,1,Germany,Europe,North America
2006,Group Stage,Ghana,Czech Republic,2,0,Germany,Africa,Europe
2006,Group Stage,Brazil,Croatia,1,0,Germany,South America,Europe
2006,Group Stage,Australia,Japan,3,1,Germany,Oceania,Asia
2006,Group Stage,Brazil,Australia,2,0,Germany,South America,Oceania
2006,Group Stage,Japan,Croatia,0,0,Germany,Asia,Europe
2006,Group Stage,Brazil,Japan,4,1,Germany,South America,Asia
2006,Group Stage,Croatia,Australia,2,2,Germany,Europe,Oceania
2006,Group Stage,France,Switzerland,0,0,Germany,Europe,Europe
2006,Group Stage,South Korea,Togo,2,1,Germany,Asia,Africa
2006,Group Stage,France,South Korea,1,1,Germany,Europe,Asia
2006,Group Stage,Switzerland,Togo,2,0,Germany,Europe,Africa
2006,Group Stage,France,Togo,2,0,Germany,Europe,Africa
2006,Group Stage,Switzerland,South Korea,2,0,Germany,Europe,Asia
2006,Group Stage,Spain,Ukraine,4,0,Germany,Europe,Europe
2006,Group Stage,Tunisia,Saudi Arabia,2,2,Germany,Africa,Asia
2006,Group Stage,Spain,Tunisia,3,1,Germany,Europe,Africa
2006,Group Stage,Saudi Arabia,Ukraine,0,4,Germany,Asia,Europe
2006,Group Stage,Spain,Saudi Arabia,1,0,Germany,Europe,Asia
2006,Group Stage,Tunisia,Ukraine,0,1,Germany,Africa,Europe
2006,Round of 16,Germany,Sweden,2,0,Germany,Europe,Europe
2006,Round of 16,Argentina,Mexico,2,1,Germany,South America,North America
2006,Round of 16,Italy,Australia,1,0,Germany,Europe,Oceania
2006,Round of 16,Portugal,Netherlands,1,0,Germany,Europe,Europe
2006,Round of 16,Brazil,Ghana,3,0,Germany,South America,Africa
2006,Round of 16,France,Spain,3,1,Germany,Europe,Europe
2006,Round of 16,England,Ecuador,1,0,Germany,Europe,South America
2006,Round of 16,Switzerland,Ukraine,0,0,Germany,Europe,Europe
2006,Quarter-finals,Germany,Argentina,1,1,Germany,Europe,South America
2006,Quarter-finals,Italy,Ukraine,3,0,Germany,Europe,Europe
2006,Quarter-finals,Portugal,England,0,0,Germany,Europe,Europe
2006,Quarter-finals,Brazil,France,0,1,Germany,South America,Europe
2006,Semi-finals,Germany,Italy,0,2,Germany,Europe,Europe
2006,Semi-finals,Portugal,France,0,1,Germany,Europe,Europe
2006,Final,Italy,France,1,1,Germany,Europe,Europe
2006,Third place,Germany,Portugal,3,1,Germany,Europe,Europe
2010,Group Stage,South Africa,Mexico,1,1,South Africa,Africa,North America
2010,Group Stage,Uruguay,France,0,0,South Africa,South America,Europe
2010,Group Stage,South Africa,Uruguay,0,3,South Africa,Africa,South America
2010,Group Stage,France,Mexico,0,2,South Africa,Europe,North America
2010,Group Stage,France,South Africa,1,2,South Africa,Europe,Africa
2010,Group Stage,Mexico,Uruguay,0,1,South Africa,North America,South America
2010,Group Stage,Argentina,Nigeria,1,0,South Africa,South America,Africa
2010,Group Stage,South Korea,Greece,2,0,South Africa,Asia,Europe
2010,Group Stage,Argentina,South Korea,4,1,South Africa,South America,Asia
2010,Group Stage,Greece,Nigeria,2,1,South Africa,Europe,Africa
2010,Group Stage,Argentina,Greece,2,0,South Africa,South America,Europe
2010,Group Stage,Nigeria,South Korea,2,2,South Africa,Africa,Asia
2010,Group Stage,England,United States,1,1,South Africa,Europe,North America
2010,Group Stage,Algeria,Slovenia,0,1,South Africa,Africa,Europe
2010,Group Stage,England,Algeria,0,0,South Africa,Europe,Africa
2010,Group Stage,United States,Slovenia,2,2,South Africa,North America,Europe
2010,Group Stage,England,Slovenia,1,0,South Africa,Europe,Europe
2010,Group Stage,United States,Algeria,1,0,South Africa,North America,Africa
2010,Group Stage,Germany,Australia,4,0,South Africa,Europe,Oceania
2010,Group Stage,Serbia,Ghana,0,1,South Africa,Europe,Africa
2010,Group Stage,Germany,Serbia,0,1,South Africa,Europe,Europe
2010,Group Stage,Ghana,Australia,1,1,South Africa,Africa,Oceania
2010,Group Stage,Germany,Ghana,1,0,South Africa,Europe,Africa
2010,Group Stage,Australia,Serbia,2,1,South Africa,Oceania,Europe
2010,Group Stage,Netherlands,Denmark,2,0,South Africa,Europe,Europe
2010,Group Stage,Japan,Cameroon,1,0,South Africa,Asia,Africa
2010,Group Stage,Netherlands,Japan,1,0,South Africa,Europe,Asia
2010,Group Stage,Cameroon,Denmark,1,2,South Africa,Africa,Europe
2010,Group Stage,Netherlands,Cameroon,2,1,South Africa,Europe,Africa
2010,Group Stage,Denmark,Japan,1,3,South Africa,Europe,Asia
2010,Group Stage,Italy,Paraguay,1,1,South Africa,Europe,South America
2010,Group Stage,New Zealand,Slovakia,1,1,South Africa,Oceania,Europe
2010,Group Stage,Italy,New Zealand,1,1,South Africa,Europe,Oceania
2010,Group Stage,Slovakia,Paraguay,0,2,South Africa,Europe,South America
2010,Group Stage,Italy,Slovakia,2,3,South Africa,Europe,Europe
2010,Group Stage,Paraguay,New Zealand,0,0,South Africa,South America,Oceania
2010,Group Stage,Brazil,North Korea,2,1,South Africa,South America,Asia
2010,Group Stage,Ivory Coast,Portugal,0,0,South Africa,Africa,Europe
2010,Group Stage,Brazil,Ivory Coast,3,1,South Africa,South America,Africa
2010,Group Stage,Portugal,North Korea,7,0,South Africa,Europe,Asia
2010,Group Stage,Brazil,Portugal,0,0,South Africa,South America,Europe
2010,Group Stage,Ivory Coast,North Korea,3,0,South Africa,Africa,Asia
2010,Group Stage,Spain,Switzerland,0,1,South Africa,Europe,Europe
2010,Group Stage,Honduras,Chile,0,1,South Africa,North America,South America
2010,Group Stage,Spain,Honduras,2,0,South Africa,Europe,North America
2010,Group Stage,Chile,Switzerland,1,0,South Africa,South America,Europe
2010,Group Stage,Spain,Chile,2,1,South Africa,Europe,South America
2010,Group Stage,Switzerland,Honduras,0,0,South Africa,Europe,North America
2010,Round of 16,Uruguay,South Korea,2,1,South Africa,South America,Asia
2010,Round of 16,Ghana,United States,2,1,South Africa,Africa,North America
2010,Round of 16,Germany,England,4,1,South Africa,Europe,Europe
2010,Round of 16,Argentina,Mexico,3,1,South Africa,South America,North America
2010,Round of 16,Netherlands,Slovakia,2,1,South Africa,Europe,Europe
2010,Round of 16,Brazil,Chile,3,0,South Africa,South America,South America
2010,Round of 16,Paraguay,Japan,0,0,South Africa,South America,Asia
2010,Round of 16,Spain,Portugal,1,0,South Africa,Europe,Europe
2010,Quarter-finals,Netherlands,Brazil,2,1,South Africa,Europe,South America
2010,Quarter-finals,Ghana,Uruguay,1,1,South Africa,Africa,South America
2010,Quarter-finals,Argentina,Germany,0,4,South Africa,South America,Europe
2010,Quarter-finals,Spain,Paraguay,1,0,South Africa,Europe,South America
2010,Semi-finals,Uruguay,Netherlands,2,3,South Africa,South America,Europe
2010,Semi-finals,Germany,Spain,0,1,South Africa,Europe,Europe
2010,Final,Netherlands,Spain,0,1,South Africa,Europe,Europe
2010,Third place,Uruguay,Germany,2,3,South Africa,South America,Europe
2014,Group Stage,Brazil,Croatia,3,1,Brazil,South America,Europe
2014,Group Stage,Mexico,Cameroon,1,0,Brazil,North America,Africa
2014,Group Stage,Brazil,Mexico,0,0,Brazil,South America,North America
2014,Group Stage,Cameroon,Croatia,0,4,Brazil,Africa,Europe
2014,Group Stage,Brazil,Cameroon,4,1,Brazil,South America,Africa
2014,Group Stage,Croatia,Mexico,1,3,Brazil,Europe,North America
2014,Group Stage,Spain,Netherlands,1,5,Brazil,Europe,Europe
2014,Group Stage,Chile,Australia,3,1,Brazil,South America,Oceania
2014,Group Stage,Spain,Chile,0,2,Brazil,Europe,South America
2014,Group Stage,Netherlands,Australia,3,2,Brazil,Europe,Oceania
2014,Group Stage,Spain,Australia,3,0,Brazil,Europe,Oceania
2014,Group Stage,Netherlands,Chile,2,0,Brazil,Europe,South America
2014,Group Stage,Colombia,Greece,3,0,Brazil,South America,Europe
2014,Group Stage,Ivory Coast,Japan,2,1,Brazil,Africa,Asia
2014,Group Stage,Colombia,Ivory Coast,2,1,Brazil,South America,Africa
2014,Group Stage,Japan,Greece,0,0,Brazil,Asia,Europe
2014,Group Stage,Colombia,Japan,4,1,Brazil,South America,Asia
2014,Group Stage,Greece,Ivory Coast,2,1,Brazil,Europe,Africa
2014,Group Stage,Uruguay,Costa Rica,1,3,Brazil,South America,North America
2014,Group Stage,England,Italy,1,2,Brazil,Europe,Europe
2014,Group Stage,Uruguay,England,2,1,Brazil,South America,Europe
2014,Group Stage,Italy,Costa Rica,0,1,Brazil,Europe,North America
2014,Group Stage,Italy,Uruguay,0,1,Brazil,Europe,South America
2014,Group Stage,Costa Rica,England,0,0,Brazil,North America,Europe
2014,Group Stage,Switzerland,Ecuador,2,1,Brazil,Europe,South America
2014,Group Stage,France,Honduras,3,0,Brazil,Europe,North America
2014,Group Stage,Switzerland,France,2,5,Brazil,Europe,Europe
